// WARNING DO NOT USE "," SYMBOL ANYWHERE ELSE THAN IT ACTUAL DATA
DATE : 2025
// surcharge SURCHARGE_TRANSPORTEUR = frais en % de la taxe gasoil + differents frais
SURCHARGE_TRANSPORTEUR : 15.5

// SURCHARGE_MAGE  = frais en % rajoutes apres (frais emballage etc)
SURCHARGE_MAGE : 0.0


poids,tarif dpd classique
1,6.95
2,7.28
3,7.60
4,7.95
5,8.30
6,8.63
7,8.95
8,9.29
9,9.63
10,9.96
11,10.32
12,10.66
13,11.03
14,11.41
15,11.76
16,13.90
17,14.26
18,14.62
19,14.98
20,15.33
21,15.74
22,16.14
23,16.54
24,16.93
25,17.34
26,17.74
27,18.14
28,18.55
29,18.95
30,19.34
31, 99999.99
