DATE : 2025-01-01
departement,tarif1,tarif2,tarif3,tarif4,tarif5
01	AIN	,110.74	,163.00	,207.30	,254.25	,308.73
02	AISNE	,162.10	,238.61	,303.45	,372.18	,451.93
03	ALLIER	,117.58	,173.08	,220.12	,269.98	,327.83
04	ALPES DE HAUTE-PROV	,127.85	,188.20	,239.35	,293.56	,356.47
04	Localités d'altitude - ST	,247.33	,364.07	,463.01	,567.89	,689.57
05	ALPES (HAUTES-)	,110.74	,163.00	,207.30	,254.25	,308.73
05	Localités d'altitude - ST	,218.80	,322.08	,409.60	,502.37	,610.02
06	ALPES-MARITIMES	,134.71	,198.29	,252.17	,309.28	,375.56
06	Localités d'altitude - ST	,258.75	,380.88	,484.38	,594.09	,721.39
07	ARDECHE	,86.77	,127.72	,162.43	,199.22	,241.91
08	ARDENNES	,168.95	,248.69	,316.27	,387.90	,471.02
09	ARIEGE	,168.95	,248.69	,316.27	,387.90	,471.02
09	Localités d'altitude - ST	,315.82	,464.88	,591.21	,725.11	,880.50
10	AUBE	,134.71	,198.29	,252.17	,309.28	,375.56
11	AUDE	,144.98	,213.41	,271.40	,332.87	,404.20
12	AVEYRON	,165.52	,243.65	,309.86	,380.04	,461.48
13	BOUCHES DU RHONE	,124.43	,183.17	,232.94	,285.70	,346.92
14	CALVADOS	,165.52	,243.65	,309.86	,380.04	,461.48
15	CANTAL	,155.25	,228.53	,290.63	,356.45	,432.83
16	CHARENTE	,148.40	,218.44	,277.81	,340.73	,413.74
17	CHARENTE-MARITIME	,162.10	,238.61	,303.45	,372.18	,451.93
17	Iles - IL	,304.40	,448.08	,569.84	,698.91	,848.67
18	CHER	,131.28	,193.25	,245.76	,301.42	,366.01
19	CORREZE	,138.13	,203.32	,258.58	,317.15	,385.10
20	CORSE	,384.30	,565.68	,719.41	,882.35	,1071.42
21	COTE-D OR	,114.16	,168.05	,213.71	,262.12	,318.28
22	COTES-D ARMOR	,179.22	,263.81	,335.50	,411.49	,499.66
22	Iles - IL	,332.93	,490.08	,623.26	,764.42	,928.23
23	CREUSE	,144.98	,213.41	,271.40	,332.87	,404.20
24	DORDOGNE	,155.25	,228.53	,290.63	,356.45	,432.83
25	DOUBS	,117.58	,173.08	,220.12	,269.98	,327.83
25	Localités d'altitude - ST	,230.22	,338.87	,430.96	,528.58	,641.83
26	DROME	,86.77	,127.72	,162.43	,199.22	,241.91
27	EURE	,158.68	,233.57	,297.04	,364.31	,442.38
28	EURE-ET-LOIR	,148.40	,218.44	,277.81	,340.73	,413.74
29	FINISTERE	,182.64	,268.85	,341.90	,419.35	,509.20
29	Iles - IL	,338.65	,498.48	,633.94	,777.52	,944.14
30	GARD	,107.32	,157.96	,200.89	,246.39	,299.18
31	HAUTE-GARONNE	,155.25	,228.53	,290.63	,356.45	,432.83
31	Localités d'altitude - ST	,292.99	,431.28	,548.47	,672.71	,816.86
32	GERS	,158.68	,233.57	,297.04	,364.31	,442.38
33	GIRONDE	,172.37	,253.73	,322.67	,395.77	,480.57
34	HERAULT	,121.01	,178.12	,226.53	,277.84	,337.37
35	ILLE-ET-VILAINE	,165.52	,243.65	,309.86	,380.04	,461.48
36	INDRE	,134.71	,198.29	,252.17	,309.28	,375.56
37	INDRE-ET-LOIRE	,148.40	,218.44	,277.81	,340.73	,413.74
38	ISERE	,73.07	,107.56	,136.79	,167.77	,203.72
38	Localités d'altitude - ST	,150.32	,221.27	,281.40	,345.14	,419.09
39	JURA	,110.74	,163.00	,207.30	,254.25	,308.73
39	Localités d'altitude - ST	,218.80	,322.08	,409.60	,502.37	,610.02
40	LANDES	,172.37	,253.73	,322.67	,395.77	,480.57
41	LOIR-ET-CHER	,144.98	,213.41	,271.40	,332.87	,404.20
42	LOIRE	,90.19	,132.76	,168.84	,207.08	,251.45
42	Localités d'altitude - ST	,178.86	,263.27	,334.81	,410.65	,498.64
43	HAUTE-LOIRE	,117.58	,173.08	,220.12	,269.98	,327.83
44	LOIRE-ATLANTIQUE	,158.68	,233.57	,297.04	,364.31	,442.38
45	LOIRET	,144.98	,213.41	,271.40	,332.87	,404.20
46	LOT	,155.25	,228.53	,290.63	,356.45	,432.83
47	LOT-ET-GARONNE	,162.10	,238.61	,303.45	,372.18	,451.93
48	LOZERE	,162.10	,238.61	,303.45	,372.18	,451.93
49	MAINE-ET-LOIRE	,158.68	,233.57	,297.04	,364.31	,442.38
50	MANCHE	,186.07	,273.89	,348.31	,427.21	,518.75
51	MARNE	,144.98	,213.41	,271.40	,332.87	,404.20
52	HAUTE-MARNE	,127.85	,188.20	,239.35	,293.56	,356.47
53	MAYENNE	,162.10	,238.61	,303.45	,372.18	,451.93
54	MEURTHE-ET-MOSELLE	,141.55	,208.37	,264.99	,325.01	,394.65
